"Name"	"start"	"end"	"chrom"
"CTB-20D2.1"	107450083	107450362	"chr7"
"CTB-22K21.2"	50627032	50631940	"chr17"
"CTB-23I7.1"	151366433	151431352	"chr5"
"CTB-23I7.2"	151378003	151378640	"chr5"
"CTB-23I7.3"	151380341	151382381	"chr5"
"CTB-25B13.12"	1457670	1458580	"chr19"
"CTB-25B13.5"	1440839	1441938	"chr19"
"CTB-25B13.9"	1508375	1508963	"chr19"
"CTB-25J19.1"	7018971	7021432	"chr19"
"CTB-26E19.1"	178438681	178443094	"chr5"
"CTB-2L9.1"	134804778	134805132	"chr5"
"CTB-30L5.1"	106570947	106598908	"chr7"
"CTB-31C7.3"	22362589	22362825	"chr19"
"CTB-31N19.2"	21532945	21550373	"chr16"
"CTB-31N19.3"	21626742	21627569	"chr16"
"CTB-31N19.4"	21538487	21538794	"chr16"
"CTB-31N19.5"	21526824	21531141	"chr16"
"CTB-31O20.2"	1874871	1876169	"chr19"
"CTB-31O20.3"	1815249	1815873	"chr19"
"CTB-31O20.4"	1822089	1824542	"chr19"
"CTB-31O20.6"	1852382	1853622	"chr19"
"CTB-31O20.8"	1860250	1862019	"chr19"
"CTB-31O20.9"	1875016	1875992	"chr19"
"CTB-32H22.1"	173414035	173451165	"chr5"
"CTB-32O4.2"	29213235	29215815	"chr19"
"CTB-32O4.3"	29220864	29221666	"chr19"
"CTB-32O4.4"	29222542	29223137	"chr19"
"CTB-32P11.1"	164209631	164211892	"chr5"
"CTB-33G10.1"	49719498	49720081	"chr19"
"CTB-33G10.11"	49625994	49626439	"chr19"
"CTB-33G10.6"	49688853	49690573	"chr19"
"CTB-33O18.1"	173562478	173573199	"chr5"
"CTB-33O18.2"	173574938	173576275	"chr5"
"CTB-33O18.3"	173579643	173585068	"chr5"
"CTB-35F21.1"	139684645	139745010	"chr5"
"CTB-35F21.2"	139741349	139746223	"chr5"
"CTB-35F21.3"	139772528	139775406	"chr5"
"CTB-35F21.4"	139848290	139856389	"chr5"
"CTB-35F21.5"	139775305	139775472	"chr5"
"CTB-36H16.2"	122832356	122834533	"chr5"
"CTB-36O1.3"	134928393	134928527	"chr5"
"CTB-36O1.7"	134923303	134924049	"chr5"
"CTB-37A13.1"	169772966	169779365	"chr5"
"CTB-39G8.2"	45371402	45372057	"chr17"
"CTB-39G8.3"	45396932	45397477	"chr17"
"CTB-3M24.3"	133387773	133388549	"chr5"
"CTB-40H15.4"	14872332	14872713	"chr5"
"CTB-41I6.1"	8965896	8967070	"chr17"
"CTB-41I6.2"	8967523	8976995	"chr17"
"CTB-43E15.1"	173642519	173658194	"chr5"
"CTB-43E15.2"	173689459	173705849	"chr5"
"CTB-43E15.3"	173707614	173746211	"chr5"
"CTB-43E15.4"	173786790	173809039	"chr5"
"CTB-46B19.1"	139035148	139035987	"chr5"
"CTB-46B19.2"	139012647	139051203	"chr5"
"CTB-47B11.1"	157422439	157422873	"chr5"
"CTB-47B11.3"	157375741	157384950	"chr5"
"CTB-47B8.1"	157931258	157931563	"chr5"
"CTB-47B8.4"	158078099	158078764	"chr5"
"CTB-47B8.5"	157986146	157987706	"chr5"
"CTB-49A3.1"	133172218	133173053	"chr5"
"CTB-49A3.2"	133160438	133224413	"chr5"
"CTB-49A3.4"	133256492	133275977	"chr5"
"CTB-49A3.5"	133243764	133248781	"chr5"
"CTB-4E7.1"	157199242	157224380	"chr5"
"CTB-50E14.4"	42424384	42425071	"chr19"
"CTB-50E14.5"	42485076	42485714	"chr19"
"CTB-50L17.14"	4528427	4540067	"chr19"
"CTB-50L17.16"	4457962	4471493	"chr19"
"CTB-50L17.2"	4621194	4622307	"chr19"
"CTB-50L17.5"	4429689	4430934	"chr19"
"CTB-50L17.7"	4447304	4448217	"chr19"
"CTB-50L17.9"	4454014	4455286	"chr19"
"CTB-51A17.1"	13860338	13897771	"chr5"
"CTB-51E13.1"	123259949	123260118	"chr4"
"CTB-51J22.1"	74059576	74062284	"chr7"
"CTB-52I2.3"	18040355	18041083	"chr19"
"CTB-52I2.4"	18022403	18032099	"chr19"
"CTB-54I1.1"	172557392	172559014	"chr5"
"CTB-54O9.9"	5784005	5785619	"chr19"
"CTB-55B8.1"	16902294	16902641	"chr5"
"CTB-55O6.10"	14119106	14119537	"chr19"
"CTB-55O6.12"	14137179	14171267	"chr19"
"CTB-55O6.13"	14006422	14006773	"chr19"
"CTB-55O6.4"	14030855	14031557	"chr19"
"CTB-55P19.1"	47760780	47760921	"chr16"
"CTB-56J15.1"	156458398	156458507	"chr5"
"CTB-57H20.1"	143605628	143828772	"chr5"
"CTB-58E17.1"	38702452	38704747	"chr17"
"CTB-58E17.2"	38601049	38602701	"chr17"
"CTB-58E17.3"	38703480	38706261	"chr17"
"CTB-58E17.5"	38749360	38751457	"chr17"
"CTB-58E17.9"	38715328	38720272	"chr17"
"CTB-59C6.3"	42078588	42080107	"chr19"
"CTB-5E10.3"	13772118	13774118	"chr19"
"CTB-60B18.10"	49018247	49019484	"chr19"
"CTB-60B18.12"	49060613	49061132	"chr19"
"CTB-60B18.15"	49050217	49050846	"chr19"
"CTB-60B18.17"	49042174	49042731	"chr19"
"CTB-60B18.18"	49064259	49064856	"chr19"
"CTB-60B18.6"	49022953	49036895	"chr19"
"CTB-60E11.11"	39553034	39555356	"chr19"
"CTB-60E11.12"	39584042	39586489	"chr19"
"CTB-60E11.9"	39532412	39534422	"chr19"
"CTB-61M7.1"	54724496	54798285	"chr19"
"CTB-61M7.2"	54890673	54891420	"chr19"
"CTB-63M22.1"	166382305	166382599	"chr5"
"CTB-66B24.1"	6109322	6125797	"chr19"
"CTB-70D19.1"	143752090	143752704	"chr5"
"CTB-70G10.1"	28294093	28313500	"chr19"
"CTB-73N10.1"	145429868	145451099	"chr5"
"CTB-75G16.1"	36574462	36575325	"chr17"
"CTB-75G16.3"	36634069	36634698	"chr17"
"CTB-77H17.1"	167965187	167967086	"chr5"
"CTB-78F1.1"	167653228	167660481	"chr5"
"CTB-78F1.2"	167721363	167729124	"chr5"
"CTB-78H18.1"	171773652	171774739	"chr5"
"CTB-78O21.1"	145728360	145729349	"chr5"
"CTB-79E8.2"	172690454	172697720	"chr5"
"CTB-79E8.3"	172656522	172656713	"chr5"
"CTB-7E3.1"	166905222	166926370	"chr5"
"CTB-83J4.1"	54224523	54224881	"chr19"
"CTB-83J4.2"	54589441	54590287	"chr19"
"CTB-85P21.1"	144522140	144522988	"chr5"
"CTB-88F18.2"	127170535	127172266	"chr5"
"CTB-88F18.3"	127179756	127179900	"chr5"
"CTB-88F18.4"	127176696	127177050	"chr5"
"CTB-89H12.4"	149494314	149504670	"chr5"
"CTB-91J4.1"	36116177	36177510	"chr17"
"CTB-92J24.2"	23927788	23929287	"chr19"
"CTB-92J24.3"	23919081	23957930	"chr19"
"CTB-95B16.1"	163416525	163416731	"chr5"
"CTB-95D12.1"	155491336	155493598	"chr5"
"CTB-96E2.10"	28373256	28373562	"chr17"
"CTB-96E2.2"	28364288	28368012	"chr17"
"CTB-96E2.3"	28357647	28381697	"chr17"
"CTB-96E2.7"	28361601	28362859	"chr17"
"CTB-99A3.1"	146563226	146617004	"chr5"
"CTBP1"	1211448	1249953	"chr4"
"CTBP1-AS2"	1249300	1288291	"chr4"
"CTBP2"	124984317	125161170	"chr10"
"CTBP2P1"	56855244	56855488	"chrY"
"CTBP2P2"	94646364	94647996	"chr10"
"CTBP2P3"	60663115	60664369	"chr18"
"CTBP2P4"	98576341	98577260	"chr5"
"CTBP2P5"	48915267	48916530	"chr2"
"CTBP2P6"	43522036	43523264	"chr11"
"CTBP2P7"	36496916	36498159	"chr19"
"CTBP2P8"	68161761	68163090	"chr1"
"CTBS"	84549606	84574480	"chr1"
"CTC-1337H24.3"	67353629	67354348	"chr11"
"CTC-1337H24.4"	67374416	67374932	"chr11"
"CTC-137K3.1"	132826179	132826903	"chr8"
"CTC-203F4.2"	135399280	135401296	"chr5"
"CTC-205M6.5"	180784782	180787869	"chr5"
"CTC-207P7.1"	164119098	164234097	"chr5"
"CTC-209H22.3"	173144162	173145039	"chr5"
"CTC-209L16.1"	154729231	154729694	"chr5"
"CTC-215O4.4"	11010917	11016011	"chr19"
"CTC-218B8.3"	39134882	39136463	"chr19"
"CTC-218H9.1"	144369334	144385310	"chr5"
"CTC-224D3.1"	151319422	151319776	"chr5"
"CTC-228N24.2"	127838486	127857804	"chr5"
"CTC-229L21.1"	174173101	174181814	"chr5"
"CTC-232H10.1"	13637919	13638381	"chr5"
"CTC-232P5.1"	5978403	6020363	"chr19"
"CTC-232P5.3"	6067953	6077119	"chr19"
"CTC-232P5.4"	6072823	6073527	"chr19"
"CTC-233O10.1"	153203044	153205534	"chrX"
"CTC-235G5.1"	76075531	76075920	"chr5"
"CTC-235G5.2"	76078666	76079763	"chr5"
"CTC-235G5.3"	76081946	76084186	"chr5"
"CTC-236F12.4"	56457795	56481946	"chr5"
"CTC-239J10.1"	13013662	13014511	"chr19"
"CTC-241F20.3"	48255675	48258199	"chr19"
"CTC-241F20.4"	48262900	48271283	"chr19"
"CTC-241N9.1"	179859013	179861283	"chr5"
"CTC-242N15.1"	87205408	87240145	"chr5"
"CTC-244M17.1"	37963853	37964790	"chr19"
"CTC-246B18.10"	39341773	39341945	"chr19"
"CTC-246B18.8"	39314651	39320858	"chr19"
"CTC-248O19.1"	157260122	157266625	"chr5"
"CTC-250I14.1"	13157959	13158788	"chr19"
"CTC-250I14.3"	13139617	13141147	"chr19"
"CTC-250I14.6"	13153071	13154193	"chr19"
"CTC-250P20.1"	73020700	73021279	"chr5"
"CTC-250P20.2"	72996920	72997642	"chr5"
"CTC-251D13.1"	151509453	151512769	"chr5"
"CTC-254B4.1"	106815197	107011014	"chr5"
"CTC-255N20.1"	147180204	147234859	"chr5"
"CTC-258N23.3"	56922018	56922213	"chr19"
"CTC-260E6.12"	20087013	20087576	"chr19"
"CTC-260E6.2"	20125044	20125484	"chr19"
"CTC-260E6.6"	20125377	20321305	"chr19"
"CTC-260E6.7"	20206844	20206954	"chr19"
"CTC-260E6.9"	20131894	20151908	"chr19"
"CTC-260F20.3"	19516227	19536076	"chr19"
"CTC-261N6.1"	86353803	86368854	"chr5"
"CTC-261N6.2"	86380660	86381426	"chr5"
"CTC-261N6.3"	86335024	86335808	"chr5"
"CTC-264K15.6"	63972920	63989422	"chr17"
"CTC-264O10.1"	167164934	167168401	"chr5"
"CTC-264O10.2"	167116318	167119585	"chr5"
"CTC-265F19.1"	2641838	2643853	"chr19"
"CTC-265F19.2"	2610155	2611862	"chr19"
"CTC-265F19.3"	2631954	2632849	"chr19"
"CTC-265N9.1"	170639158	170681437	"chr5"
"CTC-268N12.2"	37045462	37052775	"chr17"
"CTC-268N12.3"	37034668	37043252	"chr17"
"CTC-273B12.10"	48513207	48513660	"chr19"
"CTC-273B12.5"	48465593	48469693	"chr19"
"CTC-273B12.6"	48466366	48466980	"chr19"
"CTC-273B12.7"	48465837	48472431	"chr19"
"CTC-273B12.8"	48469208	48482314	"chr19"
"CTC-276P9.2"	135120526	135139681	"chr5"
"CTC-276P9.3"	135124380	135131249	"chr5"
"CTC-276P9.4"	135034521	135035894	"chr5"
"CTC-277H1.7"	67261108	67263784	"chr16"
"CTC-278L1.1"	106415576	106417241	"chr5"
"CTC-280C13.1"	154993598	154994445	"chr5"
"CTC-281F24.1"	6653464	6655009	"chr17"
"CTC-281F24.2"	6749685	6749978	"chr17"
"CTC-281F24.3"	6657214	6661413	"chr17"
"CTC-281M20.3"	174926541	174926717	"chr5"
"CTC-281M20.4"	174986295	174987050	"chr5"
"CTC-286N12.1"	167296234	167303372	"chr5"
"CTC-287O8.1"	109840128	109840692	"chr5"
"CTC-293G12.1"	100654112	100657970	"chr5"
"CTC-295J13.3"	148238570	148242594	"chr5"
"CTC-296K1.3"	44793199	44794474	"chr17"
"CTC-296K1.4"	44794747	44797783	"chr17"
"CTC-297N7.1"	10658542	10659082	"chr17"
"CTC-297N7.10"	10680734	10683988	"chr17"
"CTC-297N7.7"	10579040	10623036	"chr17"
"CTC-297N7.9"	10741267	10769016	"chr17"
"CTC-301O7.4"	49331617	49340608	"chr19"
"CTC-303L1.1"	94592771	94594791	"chr5"
"CTC-303L1.2"	94611906	94618122	"chr5"
"CTC-304I17.2"	34142947	34147047	"chr17"
"CTC-304I17.3"	34118347	34118882	"chr17"
"CTC-304I17.4"	34080882	34082224	"chr17"
"CTC-304I17.5"	34161737	34164251	"chr17"
"CTC-305H11.1"	13175846	13179572	"chr5"
"CTC-308K20.1"	172954786	172959392	"chr5"
"CTC-308K20.2"	172954907	172957162	"chr5"
"CTC-308K20.3"	172975511	172976374	"chr5"
"CTC-308K20.4"	172986680	172987198	"chr5"
"CTC-311G1.1"	150950109	150952460	"chr5"
"CTC-311G1.2"	150978419	150979175	"chr5"
"CTC-312O10.2"	6898299	6898686	"chr19"
"CTC-313D10.1"	114576041	114579970	"chr5"
"CTC-320C6.1"	163855140	163856642	"chr5"
"CTC-321K16.1"	135559577	135634874	"chr5"
"CTC-321K16.4"	135648584	135653935	"chr5"
"CTC-325H20.2"	9344784	9345898	"chr19"
"CTC-325H20.4"	9291515	9294482	"chr19"
"CTC-325H20.7"	9348106	9348703	"chr19"
"CTC-325J23.2"	80630313	80631590	"chr5"
"CTC-326K19.6"	49909501	49958391	"chr19"
"CTC-327F10.1"	147851644	147852659	"chr5"
"CTC-327F10.4"	147887112	147887704	"chr5"
"CTC-327F10.5"	147886086	147886878	"chr5"
"CTC-329D1.2"	140370891	140401367	"chr5"
"CTC-329D1.3"	140348484	140357794	"chr5"
"CTC-329H14.1"	108784098	108785552	"chr5"
"CTC-332L22.1"	109687802	109688329	"chr5"
"CTC-336P14.1"	32013061	32013368	"chr2"
"CTC-338M12.1"	181205361	181206120	"chr5"
"CTC-338M12.13"	181291673	181295572	"chr5"
"CTC-338M12.2"	181191046	181191852	"chr5"
"CTC-338M12.4"	181246523	181272167	"chr5"
"CTC-338M12.5"	181191924	181194429	"chr5"
"CTC-338M12.6"	181195496	181203103	"chr5"
"CTC-338M12.7"	181224646	181230685	"chr5"
"CTC-338M12.9"	181281375	181283652	"chr5"
"CTC-339D2.1"	126179577	126193850	"chr5"
"CTC-339F2.2"	116302354	116304134	"chr5"
"CTC-339O9.2"	53657400	53658462	"chr19"
"CTC-340A15.1"	164601002	164601452	"chr5"
"CTC-340A15.2"	164296696	165171643	"chr5"
"CTC-340D7.1"	68832585	68962158	"chr5"
"CTC-340I23.2"	156704058	156739812	"chr5"
"CTC-342P15.1"	145001853	145005789	"chr5"
"CTC-343N3.1"	2989863	2991344	"chr11"
"CTC-344H19.4"	46027654	46030161	"chr19"
"CTC-344H19.6"	46111079	46113863	"chr19"
"CTC-345K18.2"	150670658	150672390	"chr5"
"CTC-347C20.1"	72687112	72762727	"chr5"
"CTC-347C20.2"	72574120	72660669	"chr5"
"CTC-348L5.1"	160613873	160639183	"chr5"
"CTC-350I8.1"	132963770	132964164	"chr5"
"CTC-353G13.1"	167937717	167953469	"chr5"
"CTC-359D24.3"	12141806	12143322	"chr19"
"CTC-359M8.1"	146307098	146376963	"chr5"
"CTC-359M8.3"	146375591	146376219	"chr5"
"CTC-360G5.6"	38870159	38873763	"chr19"
"CTC-360G5.8"	38915404	38949855	"chr19"
"CTC-360G5.9"	38935336	38938632	"chr19"
"CTC-360J11.4"	57175233	57177921	"chr19"
"CTC-360J11.5"	57150513	57150978	"chr19"
"CTC-360J11.6"	57151587	57151860	"chr19"
"CTC-360J11.7"	57111120	57112027	"chr19"
"CTC-360P9.1"	31886704	31908284	"chr19"
"CTC-360P9.2"	31965642	31966969	"chr19"
"CTC-360P9.3"	32025862	32056865	"chr19"
"CTC-360P9.4"	31967099	32025791	"chr19"
"CTC-360P9.5"	31922884	31945398	"chr19"
"CTC-365E16.1"	72360690	72362978	"chr5"
"CTC-366B18.2"	75598482	75599380	"chr5"
"CTC-366B18.4"	75608817	75609983	"chr5"
"CTC-367F4.1"	145222610	145228982	"chr5"
"CTC-367J11.1"	150475531	150485968	"chr5"
"CTC-369A16.2"	124395603	124400395	"chr5"
"CTC-369A16.3"	124395947	124400655	"chr5"
"CTC-369M3.1"	133392211	133392690	"chr8"
"CTC-370J7.1"	157747504	157747707	"chr5"
"CTC-378H22.1"	42132555	42137099	"chr19"
"CTC-378H22.2"	42152569	42157523	"chr19"
"CTC-379B2.4"	32666298	32673210	"chr19"
"CTC-384G19.1"	85112342	85112756	"chr5"
"CTC-391G2.1"	23194878	23213104	"chr16"
"CTC-394G3.1"	125862746	125863193	"chr5"
"CTC-394G3.2"	125886285	125886753	"chr5"
"CTC-398G3.1"	11521968	11522498	"chr19"
"CTC-398G3.2"	11523436	11523831	"chr19"
"CTC-398G3.6"	11466240	11505698	"chr19"
"CTC-400I9.1"	30907199	30909155	"chr19"
"CTC-400I9.2"	30850975	30872507	"chr19"
"CTC-400I9.3"	30946582	30957192	"chr19"
"CTC-412M14.5"	19708965	19710465	"chr19"
"CTC-412M14.6"	19699203	19699409	"chr19"
"CTC-420A11.2"	61918321	61940697	"chr16"
"CTC-421K24.1"	37454171	37454931	"chr17"
"CTC-422A18.1"	79191549	79191747	"chr5"
"CTC-422A18.2"	79229904	79230588	"chr5"
"CTC-425F1.4"	12944118	12944487	"chr19"
"CTC-425K20.1"	165905126	165905608	"chr5"
"CTC-425O23.2"	40273489	40275479	"chr19"
"CTC-428G20.1"	115264669	115265464	"chr5"
"CTC-428G20.2"	115188563	115188932	"chr5"
"CTC-428G20.3"	115204012	115206246	"chr5"
"CTC-428G20.6"	115262505	115263448	"chr5"
"CTC-428H11.2"	87376256	87377180	"chr5"
"CTC-429C10.2"	51888025	51900463	"chr19"
"CTC-429L19.3"	10490339	10491000	"chr19"
"CTC-429P9.1"	16630743	16643942	"chr19"
"CTC-429P9.2"	16610411	16636531	"chr19"
"CTC-429P9.3"	16633797	16635269	"chr19"
"CTC-429P9.4"	16577642	16660115	"chr19"
"CTC-429P9.5"	16639967	16640668	"chr19"
"CTC-430J12.2"	174329612	174330503	"chr5"
"CTC-431G16.2"	79774348	79816190	"chr5"
"CTC-431G16.3"	79849552	79849846	"chr5"
"CTC-432M15.3"	131425891	131796983	"chr5"
"CTC-435M10.10"	41399372	41400365	"chr19"
"CTC-435M10.12"	41373971	41374419	"chr19"
"CTC-435M10.3"	41350853	41425001	"chr19"
"CTC-435M10.6"	41425359	41426237	"chr19"
"CTC-436K13.1"	158175396	158200016	"chr5"
"CTC-436K13.2"	158275711	158278813	"chr5"
"CTC-436K13.3"	158256137	158258436	"chr5"
"CTC-436K13.4"	158188977	158189911	"chr5"
"CTC-436K13.5"	158173601	158176422	"chr5"
"CTC-436K13.6"	158225352	158234376	"chr5"
"CTC-436P18.1"	61162070	61232040	"chr5"
"CTC-436P18.3"	61201309	61264929	"chr5"
"CTC-436P18.5"	61145846	61146376	"chr5"
"CTC-439O9.3"	31167516	31207663	"chr19"
"CTC-441N14.1"	122154496	122156015	"chr5"
"CTC-441N14.2"	122128762	122154856	"chr5"
"CTC-441N14.4"	122157368	122182658	"chr5"
"CTC-444N24.11"	57304305	57308562	"chr19"
"CTC-444N24.13"	57350848	57352012	"chr19"
"CTC-444N24.6"	57267220	57280334	"chr19"
"CTC-444N24.8"	57261354	57262738	"chr19"
"CTC-444N24.9"	57317208	57317562	"chr19"
"CTC-447K7.1"	155397291	155398353	"chr5"
"CTC-448D22.1"	118760474	118785459	"chr5"
"CTC-448F2.3"	29921182	29921653	"chr19"
"CTC-448F2.4"	30028741	30029916	"chr19"
"CTC-448F2.6"	30037423	30038156	"chr19"
"CTC-450M9.1"	38108500	38109533	"chr19"
"CTC-451A6.4"	22752183	22754875	"chr19"
"CTC-451A6.5"	22708834	22709314	"chr19"
"CTC-451P13.1"	79284132	79284918	"chr5"
"CTC-453G23.4"	48145908	48147413	"chr19"
"CTC-453G23.5"	48118432	48127706	"chr19"
"CTC-453G23.8"	48204083	48213154	"chr19"
"CTC-454I21.3"	37093019	37210512	"chr19"
"CTC-454I21.4"	37128679	37141640	"chr19"
"CTC-455F18.3"	170896929	170904461	"chr5"
"CTC-457E21.1"	22520995	22527949	"chr19"
"CTC-457E21.10"	22595479	22596163	"chr19"
"CTC-457E21.4"	22609606	22610601	"chr19"
"CTC-457E21.5"	22605739	22608211	"chr19"
"CTC-457E21.6"	22603269	22608501	"chr19"
"CTC-457E21.7"	22620483	22620724	"chr19"
"CTC-457E21.9"	22665552	22716991	"chr19"
"CTC-457L16.2"	19141017	19143689	"chr17"
"CTC-458A3.1"	133325997	133326404	"chr8"
"CTC-458G6.2"	92907180	92939591	"chr5"
"CTC-458G6.4"	92826255	92844004	"chr5"
"CTC-458I2.2"	80128361	80143883	"chr5"
"CTC-459F4.1"	27757184	27760849	"chr19"
"CTC-459F4.3"	27793463	27918863	"chr19"
"CTC-459F4.5"	27849730	27889222	"chr19"
"CTC-459F4.6"	27803538	27804060	"chr19"
"CTC-459F4.7"	27812807	27896715	"chr19"
"CTC-459F4.8"	27908356	27908554	"chr19"
"CTC-459M5.1"	112173570	112175548	"chr5"
"CTC-459M5.2"	112192020	112210139	"chr5"
"CTC-461F20.1"	16617225	16621276	"chr5"
"CTC-461H2.2"	33051515	33051701	"chr19"
"CTC-461H2.3"	33067175	33067433	"chr19"
"CTC-462L7.1"	55168823	55173632	"chr17"
"CTC-463N11.1"	98679402	98681367	"chr5"
"CTC-465D4.1"	20120980	20129813	"chr12"
"CTC-467M3.1"	88676218	88722831	"chr5"
"CTC-467M3.2"	88692651	88692859	"chr5"
"CTC-467M3.3"	88692645	88693972	"chr5"
"CTC-470C15.1"	88602780	88603117	"chr5"
"CTC-470E21.1"	112363456	112363666	"chr5"
"CTC-471C19.1"	6019029	6022283	"chr5"
"CTC-471C19.2"	6030035	6030841	"chr5"
"CTC-471F3.5"	40023384	40025502	"chr19"
"CTC-471F3.6"	40020385	40021041	"chr19"
"CTC-471J1.10"	52110318	52110726	"chr19"
"CTC-471J1.11"	52049007	52049754	"chr19"
"CTC-471J1.2"	52058490	52063703	"chr19"
"CTC-471J1.8"	52130548	52171533	"chr19"
"CTC-471J1.9"	52142626	52144156	"chr19"
"CTC-472C24.1"	116820993	116830187	"chr5"
"CTC-479C5.10"	67882461	67886367	"chr16"
"CTC-479C5.11"	67855955	67856111	"chr16"
"CTC-479C5.12"	67929614	67936017	"chr16"
"CTC-479C5.17"	67943547	67944520	"chr16"
"CTC-479C5.6"	68013436	68015911	"chr16"
"CTC-480C2.1"	85663232	85664684	"chr5"
"CTC-482H14.5"	5178119	5178464	"chr19"
"CTC-484M2.1"	83746388	83746989	"chr5"
"CTC-484P3.3"	94788789	94793599	"chr5"
"CTC-487M23.5"	112893333	112894001	"chr5"
"CTC-487M23.7"	112898023	112898371	"chr5"
"CTC-487M23.8"	112861188	112893079	"chr5"
"CTC-490E21.10"	40831221	40837210	"chr19"
"CTC-490E21.12"	40801297	40898282	"chr19"
"CTC-490E21.13"	40908480	40910685	"chr19"
"CTC-490G23.2"	43329295	43331430	"chr19"
"CTC-490G23.4"	43360685	43368970	"chr19"
"CTC-492K19.4"	40443436	40444087	"chr19"
"CTC-492K19.7"	40426115	40426702	"chr19"
"CTC-493L21.1"	86746818	86749772	"chr5"
"CTC-493L21.2"	86797685	86800280	"chr5"
"CTC-493P15.2"	11281364	11282501	"chr8"
"CTC-497E21.3"	13001090	13009159	"chr11"
"CTC-497E21.5"	13054615	13134839	"chr11"
"CTC-498J12.1"	69038518	69043821	"chr5"
"CTC-498J12.3"	69113112	69136394	"chr5"
"CTC-498M16.2"	88408982	88439090	"chr5"
"CTC-498M16.3"	88382948	88383260	"chr5"
"CTC-498M16.4"	88433892	88498697	"chr5"
"CTC-499B15.1"	11756533	11759933	"chr19"
"CTC-499B15.4"	11682546	11686190	"chr19"
"CTC-499B15.6"	11725961	11730783	"chr19"
"CTC-499B15.7"	11796084	11798598	"chr19"
"CTC-499B15.8"	11841241	11842439	"chr19"
"CTC-499J9.1"	111277517	111302567	"chr5"
"CTC-501O10.1"	43680273	43705884	"chr17"
"CTC-503J8.2"	6176256	6176442	"chr19"
"CTC-503J8.4"	6259157	6259799	"chr19"
"CTC-503J8.6"	6210379	6212481	"chr19"
"CTC-503K11.2"	103246048	103253519	"chr5"
"CTC-505O3.1"	115770586	115770989	"chr5"
"CTC-505O3.2"	115755644	115756286	"chr5"
"CTC-505O3.3"	115691462	115692167	"chr5"
"CTC-506B8.1"	96741079	96742698	"chr5"
"CTC-507E12.1"	119680197	119681080	"chr5"
"CTC-507E2.2"	35596904	35597128	"chr17"
"CTC-508F8.1"	21120758	21130108	"chr16"
"CTC-510F12.2"	11203628	11216168	"chr19"
"CTC-510F12.4"	11300777	11324441	"chr19"
"CTC-510F12.6"	11322156	11324195	"chr19"
"CTC-510F12.7"	11221083	11221573	"chr19"
"CTC-512J12.4"	44392439	44448452	"chr19"
"CTC-512J12.6"	44329695	44401608	"chr19"
"CTC-512J12.7"	44290081	44290911	"chr19"
"CTC-512J14.1"	80315671	80315826	"chr5"
"CTC-512J14.7"	80299678	80302847	"chr5"
"CTC-513N18.6"	20432552	20528615	"chr19"
"CTC-513N18.7"	20553792	20661583	"chr19"
"CTC-518B2.10"	51043806	51052077	"chr19"
"CTC-518B2.12"	51014374	51014734	"chr19"
"CTC-518B2.9"	51030076	51034335	"chr19"
"CTC-518P12.6"	4838332	4838907	"chr19"
"CTC-523E23.1"	34811589	34814345	"chr19"
"CTC-523E23.10"	34779412	34780021	"chr19"
"CTC-523E23.11"	34849278	34860576	"chr19"
"CTC-523E23.14"	34902202	34904195	"chr19"
"CTC-523E23.15"	34904392	34905057	"chr19"
"CTC-523E23.4"	34788582	34832869	"chr19"
"CTC-523E23.5"	34837889	34855304	"chr19"
"CTC-523E23.6"	34905315	34908188	"chr19"
"CTC-523E23.8"	34923299	34926812	"chr19"
"CTC-523E23.9"	34825414	34825996	"chr19"
"CTC-524C5.2"	5425139	5432876	"chr17"
"CTC-524C5.5"	5469092	5470360	"chr17"
"CTC-525D6.1"	29287011	29525752	"chr19"
"CTC-525D6.2"	29489775	29526948	"chr19"
"CTC-525D6.5"	29448038	29448380	"chr19"
"CTC-526N19.1"	33906352	33908391	"chr19"
"CTC-527H23.1"	48600176	48600644	"chr16"
"CTC-527H23.2"	48620319	48622033	"chr16"
"CTC-527H23.3"	48637143	48638719	"chr16"
"CTC-527H23.4"	48640473	48641052	"chr16"
"CTC-529G1.1"	160685351	160692889	"chr5"
"CTC-529I10.1"	16023323	16023653	"chr17"
"CTC-529I10.2"	16040472	16041273	"chr17"
"CTC-529L17.1"	92654848	92679141	"chr5"
"CTC-529L17.2"	92675956	92688254	"chr5"
"CTC-529P8.1"	149063317	149109787	"chr5"
"CTC-534A2.2"	65624765	65630891	"chr5"
"CTC-534B23.1"	85549409	85549952	"chr5"
"CTC-535M15.1"	165782805	165783134	"chr5"
"CTC-535M15.2"	165349030	165778689	"chr5"
"CTC-537E7.1"	68523878	68530007	"chr5"
"CTC-537E7.2"	68531690	68533530	"chr5"
"CTC-537E7.3"	68430427	68434481	"chr5"
"CTC-539A10.7"	10598001	10598965	"chr19"
"CTC-542B22.1"	31830731	31831750	"chr17"
"CTC-542B22.2"	31873926	31886666	"chr17"
"CTC-543D15.1"	9518150	9519341	"chr19"
"CTC-543D15.3"	9498678	9510079	"chr19"
"CTC-543D15.7"	9523224	9524640	"chr19"
"CTC-543D15.8"	9538733	9539734	"chr19"
"CTC-546K23.1"	121199704	121357398	"chr5"
"CTC-548H10.2"	127651693	127664029	"chr5"
"CTC-548K16.1"	14333743	14343916	"chr19"
"CTC-548K16.2"	14305458	14370196	"chr19"
